"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.496357292E0,-6.023421496E-2,-1.842326090E-1,-9.470267415E-2
3.506418292E0,3.592967838E-3,9.046227336E-3,-3.596622348E-2
3.516480292E0,9.476436228E-3,6.714123845E-2,-6.790488482E-2
3.526541292E0,2.025373176E-2,-4.274548531E-2,-1.193720770E-1
3.536603292E0,7.882061318E-2,-5.880851761E-2,-1.894702524E-1
3.546664292E0,1.177409962E-1,-8.545530260E-2,-2.053588915E-1
3.556726292E0,1.314043312E-1,-4.193155289E-2,-1.630390835E-1
3.566787292E0,1.271351328E-1,-3.765899241E-2,-8.638851821E-2
3.576848292E0,6.573673725E-2,-5.499364793E-2,-5.545557797E-2
3.586910292E0,5.391395956E-2,-3.115630388E-2,-7.067704976E-2
3.596971292E0,5.020375505E-2,1.420873404E-2,-9.052308440E-2
3.607033292E0,2.800655499E-2,2.418525338E-2,-7.286566257E-2
3.617094292E0,2.388178289E-2,-8.775208890E-3,-7.131030321E-2
3.627156292E0,5.367934003E-2,5.476794541E-3,-7.336793840E-2
3.637217292E0,2.554385394E-2,4.451017499E-2,-2.598444164E-2
3.647278292E0,-8.535473049E-3,4.914292395E-2,-4.773666859E-2
3.657340292E0,1.432567835E-5,1.225351283E-1,-8.393239528E-1
3.667401292E0,-1.062522407E-1,1.561215350E-1,-6.525200307E-2
3.677463292E0,-2.702077290E-1,8.409553260E-2,7.673359573E-2
3.687524292E0,-1.799710120E-1,1.552739811E-1,1.626110673E-2
3.697586292E0,-2.413723312E-1,1.536379302E-1,1.445069182E-1
3.707647292E0,-1.611875626E-1,4.513962775E-2,2.337681735E-1
3.717708292E0,6.506343037E-2,-1.981007427E-1,2.671078277E-1
